Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Strain,TISSUE
SRR6636244,E14.5,RNA-Seq,100,123134900,PRJNA432054,SAMN08429643,81379098,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623931,GSM2967489,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967489,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636245,E14.5,RNA-Seq,100,163839600,PRJNA432054,SAMN08429563,109274365,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623932,GSM2967490,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967490,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636246,E14.5,RNA-Seq,100,184193000,PRJNA432054,SAMN08429562,125850233,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623933,GSM2967491,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967491,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636247,E14.5,RNA-Seq,100,131053600,PRJNA432054,SAMN08429647,86430916,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623934,GSM2967492,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967492,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636248,E14.5,RNA-Seq,100,123450700,PRJNA432054,SAMN08429646,82399154,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623935,GSM2967493,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967493,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636249,E14.5,RNA-Seq,100,213334700,PRJNA432054,SAMN08429641,141057621,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623936,GSM2967494,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967494,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636250,E14.5,RNA-Seq,100,119781000,PRJNA432054,SAMN08429642,79312558,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623937,GSM2967495,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967495,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636251,E14.5,RNA-Seq,100,152502300,PRJNA432054,SAMN08429571,100111187,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623938,GSM2967496,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967496,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636252,E14.5,RNA-Seq,100,162650400,PRJNA432054,SAMN08429636,106337736,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623939,GSM2967497,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967497,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636253,E14.5,RNA-Seq,100,174984700,PRJNA432054,SAMN08429640,115391328,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623940,GSM2967498,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967498,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636254,E14.5,RNA-Seq,100,257519600,PRJNA432054,SAMN08429639,169903573,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623941,GSM2967499,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967499,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636255,E14.5,RNA-Seq,100,323495000,PRJNA432054,SAMN08429638,214299570,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623942,GSM2967500,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967500,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636256,E14.5,RNA-Seq,100,301686800,PRJNA432054,SAMN08429637,198965902,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623943,GSM2967501,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967501,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636257,E14.5,RNA-Seq,100,239717300,PRJNA432054,SAMN08429577,157661005,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623944,GSM2967502,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967502,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636258,E14.5,RNA-Seq,100,173744000,PRJNA432054,SAMN08429576,114222355,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623945,GSM2967503,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967503,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636259,E14.5,RNA-Seq,100,184108100,PRJNA432054,SAMN08429575,121900487,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623946,GSM2967504,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967504,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636260,E14.5,RNA-Seq,100,218974000,PRJNA432054,SAMN08429574,143897212,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623947,GSM2967505,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967505,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636261,E14.5,RNA-Seq,100,177941600,PRJNA432054,SAMN08429573,117176290,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623948,GSM2967506,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967506,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636262,E14.5,RNA-Seq,100,145670000,PRJNA432054,SAMN08429572,95124195,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623949,GSM2967507,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967507,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636263,E14.5,RNA-Seq,100,218643800,PRJNA432054,SAMN08429585,144117253,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623950,GSM2967508,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967508,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636264,E14.5,RNA-Seq,100,174322100,PRJNA432054,SAMN08429578,114674947,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623951,GSM2967509,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967509,Brain,SRP131682,CD1,"Brain,dMGE"
SRR6636265,E14.5,RNA-Seq,100,114760300,PRJNA432054,SAMN08429583,77372632,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623952,GSM2967510,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967510,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636266,E14.5,RNA-Seq,100,138680000,PRJNA432054,SAMN08429582,91557921,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623953,GSM2967511,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967511,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636267,E14.5,RNA-Seq,100,164482300,PRJNA432054,SAMN08429581,110859734,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623954,GSM2967512,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967512,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636268,E14.5,RNA-Seq,100,161429700,PRJNA432054,SAMN08429580,106535719,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623955,GSM2967513,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967513,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636269,E14.5,RNA-Seq,100,74252000,PRJNA432054,SAMN08429579,49143854,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623956,GSM2967514,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967514,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636270,E14.5,RNA-Seq,100,172604600,PRJNA432054,SAMN08428932,114307553,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623957,GSM2967515,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967515,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636271,E14.5,RNA-Seq,100,256399700,PRJNA432054,SAMN08428931,168495869,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623958,GSM2967516,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967516,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636272,E14.5,RNA-Seq,100,177861200,PRJNA432054,SAMN08429584,117363859,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623959,GSM2967517,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967517,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636273,E14.5,RNA-Seq,100,230507200,PRJNA432054,SAMN08428930,152739309,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623960,GSM2967518,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967518,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636274,E14.5,RNA-Seq,100,212047500,PRJNA432054,SAMN08428929,143085541,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623961,GSM2967519,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967519,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636275,E14.5,RNA-Seq,100,272058600,PRJNA432054,SAMN08428928,179315368,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623962,GSM2967520,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967520,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636276,E14.5,RNA-Seq,100,270511500,PRJNA432054,SAMN08428927,178454974,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623963,GSM2967521,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967521,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636277,E14.5,RNA-Seq,100,278946600,PRJNA432054,SAMN08428926,185076482,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623964,GSM2967522,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967522,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636278,E14.5,RNA-Seq,100,208839100,PRJNA432054,SAMN08428925,137815590,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623965,GSM2967523,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967523,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636279,E14.5,RNA-Seq,100,149654700,PRJNA432054,SAMN08428924,98443830,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623966,GSM2967524,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967524,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636280,E14.5,RNA-Seq,100,260749100,PRJNA432054,SAMN08428923,171313354,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623967,GSM2967525,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967525,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636281,E14.5,RNA-Seq,100,167528400,PRJNA432054,SAMN08429565,110332071,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623968,GSM2967526,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967526,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636282,E14.5,RNA-Seq,100,179797800,PRJNA432054,SAMN08428921,117849217,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623969,GSM2967527,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967527,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636283,E14.5,RNA-Seq,100,227711900,PRJNA432054,SAMN08429568,152752222,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623970,GSM2967528,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967528,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636284,E14.5,RNA-Seq,100,257203300,PRJNA432054,SAMN08429567,168595493,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623971,GSM2967529,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967529,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636285,E14.5,RNA-Seq,100,253656500,PRJNA432054,SAMN08429566,167850545,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623972,GSM2967530,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967530,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636286,E14.5,RNA-Seq,100,248879300,PRJNA432054,SAMN08428922,164034038,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623973,GSM2967531,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967531,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636287,E14.5,RNA-Seq,100,164472300,PRJNA432054,SAMN08429570,109830772,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623974,GSM2967532,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967532,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636288,E14.5,RNA-Seq,100,178383400,PRJNA432054,SAMN08429569,118730488,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623975,GSM2967533,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967533,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636289,E14.5,RNA-Seq,100,101726300,PRJNA432054,SAMN08428920,75683447,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623976,GSM2967534,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967534,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636290,E14.5,RNA-Seq,100,173016300,PRJNA432054,SAMN08428919,114665496,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623977,GSM2967535,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967535,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636291,E14.5,RNA-Seq,100,211281700,PRJNA432054,SAMN08428918,140406220,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623978,GSM2967536,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967536,Brain,SRP131682,CD1,"dMGE,Brain"
